# Ludwieg and Tillman Mild Adverse Pressure Gradient
IDENT = 1100
V = 0.155000

# Summary data
# X     UI      DUI   THETA    H      HS      G       CF     CFLT      CFE    BETA
0.782  33.90  -2.300  0.276  1.381  1.778   7.307  0.00285  0.00276  0.00271  0.181
1.282  32.60  -3.350  0.413  1.394  1.760   8.014  0.00249  0.00246  0.00249  0.475
1.782  30.70  -4.320  0.606  1.402  1.753   8.633  0.00221  0.00222  0.00219  1.083
2.282  28.60  -3.580  0.811  1.427  1.734   9.353  0.00205  0.00202  0.00202  1.415
2.782  27.10  -3.000  1.074  1.457  1.720  10.445  0.00180  0.00181  0.00186  1.919
3.132  26.05  -2.740  1.276  1.485  1.706  11.280  0.00168  0.00167  0.00171  2.379
3.332  25.75  -2.600  1.432  1.492  1.703  11.607  0.00162  0.00161  0.00160  2.672
3.532  24.85  -2.500  1.614  1.519  1.693  12.461  0.00150  0.00151  0.00153  3.282
3.732  24.50  -2.400  1.773  1.542  1.684  13.253  0.00141  0.00142  0.00152  3.806
3.932  24.05  -2.300  2.005  1.566  1.675  14.037  0.00133  0.00133  0.00134  4.530
4.132  23.60  -2.250  2.246  1.594  1.664  14.960  0.00124  0.00124  0.00126  5.499
4.332  23.10  -2.180  2.528  1.618  1.656  15.811  0.00117  0.00117  0.00117  6.615

# Edge velocity plot
# X    UI      DUI
0.75  33.98  -2.25
1.00  33.38  -2.75
1.25  32.63  -3.29
1.50  31.79  -3.82
1.75  30.78  -4.33
2.00  29.66  -4.00
2.25  28.78  -3.62
2.50  27.90  -3.28
2.75  27.15  -3.05
3.00  26.42  -2.82
3.25  25.70  -2.65
3.50  25.10  -2.52
3.75  24.45  -2.38
4.00  23.85  -2.29
4.25  23.38  -2.21

# Stations summary
# X      US      UI       V      THETA    DELS    ENTH     CLTH      H        G       HS     RTHETA   RDELS
0.7820  1.280  33.900  0.155000  0.2760  0.3812  0.4908   10.0941  1.3811   7.3070  1.7783   6036.6   8337.1
1.2820  1.150  32.600  0.155000  0.4128  0.5755  0.7265   16.3140  1.3941   8.0144  1.7600   8681.5  12103.0
1.7820  1.020  30.700  0.155000  0.6059  0.8496  1.0619   25.5722  1.4022   8.6330  1.7525  12000.9  16827.1
2.2820  0.915  28.600  0.155000  0.8108  1.1570  1.4064   36.1677  1.4269   9.3530  1.7345  14961.0  21348.4
2.7820  0.814  27.100  0.155000  1.0736  1.5645  1.8464   52.0837  1.4572  10.4452  1.7198  18771.5  27354.3
3.1320  0.754  26.050  0.155000  1.2761  1.8947  2.1774   65.4626  1.4848  11.2802  1.7063  21447.0  31843.5
3.3320  0.732  25.750  0.155000  1.4325  2.1379  2.4397   75.2101  1.4924  11.6073  1.7031  23797.9  35516.1
3.5320  0.681  24.850  0.155000  1.6139  2.4504  2.7316   89.4145  1.5186  12.4609  1.6929  25869.7  39285.2
3.7320  0.650  24.500  0.155000  1.7733  2.7349  2.9855  103.0786  1.5423  13.2526  1.6837  28028.9  43229.1
3.9320  0.619  24.050  0.155000  2.0046  3.1386  3.3585  121.9346  1.5657  14.0373  1.6754  31102.9  48698.9
4.1320  0.588  23.600  0.155000  2.2458  3.5800  3.7380  143.7026  1.5941  14.9599  1.6644  34193.8  54508.9
4.3320  0.558  23.100  0.155000  2.5276  4.0894  4.1868  169.3030  1.6179  15.8110  1.6564  37670.1  60945.9

# Station 1 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     26.48
  41.3  14.43   0.050  0.5450  0.0050  12.05
  82.6  15.84   0.100  0.5980  0.0099  10.64
 165.2  17.48   0.200  0.6600  0.0198   9.00
 330.4  19.15   0.400  0.7230  0.0396   7.33
 495.6  20.31   0.600  0.7670  0.0594   6.17
 660.8  21.29   0.800  0.8040  0.0793   5.19
 825.9  22.22   1.000  0.8390  0.0991   4.26
 991.1  22.98   1.200  0.8680  0.1189   3.50
1238.9  24.11   1.500  0.9105  0.1486   2.37
1486.7  25.08   1.800  0.9470  0.1783   1.40
1651.9  25.65   2.000  0.9685  0.1981   0.83
2064.9  26.37   2.500  0.9960  0.2477   0.11
2477.8  26.48   3.000  1.0000  0.2972   0.0

# Station 2 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     28.35
  37.1  14.46   0.050  0.5100  0.0031  13.89
  74.2  15.79   0.100  0.5570  0.0061  12.56
 148.4  17.15   0.200  0.6050  0.0123  11.20
 296.8  18.88   0.400  0.6660  0.0245   9.47
 445.1  20.07   0.600  0.7080  0.0368   8.28
 593.5  20.95   0.800  0.7390  0.0490   7.40
 741.9  21.70   1.000  0.7655  0.0613   6.65
 890.3  22.51   1.200  0.7940  0.0736   5.84
1112.8  23.60   1.500  0.8325  0.0919   4.75
1335.4  24.64   1.800  0.8690  0.1103   3.71
1483.8  25.13   2.000  0.8865  0.1226   3.22
1854.7  26.45   2.500  0.9330  0.1532   1.90
2225.6  27.60   3.000  0.9735  0.1839   0.75
2967.5  28.32   4.000  0.9990  0.2452   0.03
4451.3  28.35   6.000  1.0000  0.3678   0.0

# Station 3 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     30.10
  32.9  13.91   0.050  0.4620  0.0020  16.19
  65.8  15.35   0.100  0.5100  0.0039  14.75
 131.6  16.92   0.200  0.5620  0.0078  13.18
 263.2  18.60   0.400  0.6180  0.0156  11.50
 394.8  19.67   0.600  0.6535  0.0235  10.43
 526.4  20.59   0.800  0.6840  0.0313   9.51
 658.0  21.28   1.000  0.7070  0.0391   8.82
 789.6  22.02   1.200  0.7315  0.0469   8.08
 987.0  22.97   1.500  0.7630  0.0587   7.13
1184.4  23.90   1.800  0.7940  0.0704   6.20
1316.0  24.38   2.000  0.8100  0.0782   5.72
1645.1  25.81   2.500  0.8575  0.0978   4.29
1974.1  27.04   3.000  0.8985  0.1173   3.06
2632.1  29.05   4.000  0.9650  0.1564   1.05
3948.1  30.10   6.000  1.0000  0.2346   0.0

# Station 4 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     31.26
  29.5  13.57   0.050  0.4340  0.0014  17.69
  59.0  15.29   0.100  0.4890  0.0028  15.97
 118.1  16.66   0.200  0.5330  0.0055  14.60
 295.1  18.82   0.500  0.6020  0.0138  12.44
 590.3  20.62   1.000  0.6595  0.0276  10.64
 885.4  21.98   1.500  0.7030  0.0415   9.28
1180.5  23.44   2.000  0.7500  0.0553   7.81
1475.7  24.66   2.500  0.7890  0.0691   6.60
1770.8  25.87   3.000  0.8275  0.0829   5.39
2361.1  28.13   4.000  0.9000  0.1106   3.13
2951.3  30.01   5.000  0.9600  0.1382   1.25
3541.6  31.03   6.000  0.9925  0.1659   0.23
4131.8  31.26   7.000  1.0000  0.1935   0.0

# Station 5 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     33.29
  26.3  13.05   0.050  0.3920  0.0010  20.24
  52.5  14.98   0.100  0.4500  0.0019  18.31
 105.0  16.41   0.200  0.4930  0.0038  16.88
 262.6  18.58   0.500  0.5580  0.0096  14.71
 525.2  20.54   1.000  0.6170  0.0192  12.75
 787.8  21.80   1.500  0.6550  0.0288  11.49
1050.4  23.05   2.000  0.6925  0.0384  10.24
1313.0  24.20   2.500  0.7270  0.0480   9.09
1575.6  25.37   3.000  0.7620  0.0576   7.92
2100.8  27.50   4.000  0.8260  0.0768   5.79
2626.0  29.56   5.000  0.8880  0.0960   3.73
3151.2  31.36   6.000  0.9420  0.1152   1.93
3676.4  32.62   7.000  0.9800  0.1344   0.67
4201.6  33.12   8.000  0.9950  0.1536   0.17
4726.8  33.29   9.000  1.0000  0.1728   0.0

# Station 6 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     34.55
  24.3  12.96   0.050  0.3750  0.0008  21.59
  48.6  14.79   0.100  0.4280  0.0015  19.76
  97.3  16.48   0.200  0.4770  0.0031  18.07
 243.2  18.42   0.500  0.5330  0.0076  16.13
 486.4  20.11   1.000  0.5820  0.0153  14.44
 729.7  21.49   1.500  0.6220  0.0229  13.06
 972.9  22.60   2.000  0.6540  0.0306  11.95
1216.1  23.77   2.500  0.6880  0.0382  10.78
1459.3  24.82   3.000  0.7185  0.0458   9.73
1945.8  26.83   4.000  0.7765  0.0611   7.72
2432.2  28.95   5.000  0.8380  0.0764   5.60
2918.6  30.71   6.000  0.8890  0.0917   3.84
3405.1  32.58   7.000  0.9430  0.1069   1.97
3891.5  33.77   8.000  0.9775  0.1222   0.78
4377.9  34.55   9.000  1.0000  0.1375   0.0

# Station 7 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     35.18
  23.6  12.88   0.050  0.3660  0.0007  22.30
  47.2  14.81   0.100  0.4210  0.0013  20.37
  94.4  16.32   0.200  0.4640  0.0027  18.86
 236.1  18.38   0.500  0.5225  0.0066  16.80
 472.2  19.96   1.000  0.5675  0.0133  15.22
 708.3  21.32   1.500  0.6060  0.0199  13.86
 944.5  22.27   2.000  0.6330  0.0266  12.91
1180.6  23.29   2.500  0.6620  0.0332  11.89
1416.7  24.33   3.000  0.6915  0.0399  10.85
1888.9  26.46   4.000  0.7520  0.0532   8.72
2361.1  28.39   5.000  0.8070  0.0665   6.79
2833.4  30.17   6.000  0.8575  0.0798   5.01
3305.6  31.86   7.000  0.9055  0.0931   3.32
3777.8  33.46   8.000  0.9510  0.1064   1.72
4250.0  34.51   9.000  0.9810  0.1197   0.67
4722.3  34.95  10.000  0.9935  0.1330   0.23
5194.5  35.14  11.000  0.9990  0.1463   0.04
5666.7  35.18  12.000  1.0000  0.1596   0.0

# Station 8 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     36.49
  22.0  12.37   0.050  0.3390  0.0006  24.12
  43.9  13.94   0.100  0.3820  0.0011  22.55
  87.9  15.95   0.200  0.4370  0.0022  20.54
 219.7  18.17   0.500  0.4980  0.0056  18.32
 439.4  20.05   1.000  0.5495  0.0112  16.44
 659.0  21.13   1.500  0.5790  0.0168  15.36
 878.7  22.30   2.000  0.6110  0.0224  14.19
1098.4  23.32   2.500  0.6390  0.0280  13.17
1318.1  24.17   3.000  0.6625  0.0336  12.32
1757.4  26.16   4.000  0.7170  0.0447  10.33
2196.8  28.02   5.000  0.7680  0.0559   8.47
2636.2  29.96   6.000  0.8210  0.0671   6.53
3075.5  31.73   7.000  0.8695  0.0783   4.76
3514.9  33.36   8.000  0.9143  0.0895   3.13
3954.2  34.83   9.000  0.9545  0.1007   1.66
4393.6  35.89  10.000  0.9835  0.1118   0.60
4833.0  36.24  11.000  0.9935  0.1230   0.24
5272.3  36.46  12.000  0.9990  0.1342   0.04
5711.7  36.49  13.000  1.0000  0.1454   0.0

# Station 9 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     37.69
  21.0  12.51   0.050  0.3320  0.0005  25.18
  41.9  14.10   0.100  0.3740  0.0010  23.59
  83.9  16.07   0.200  0.4265  0.0019  21.62
 209.7  18.07   0.500  0.4795  0.0049  19.62
 419.4  19.81   1.000  0.5255  0.0097  17.88
 629.1  21.09   1.500  0.5595  0.0146  16.60
 838.8  22.14   2.000  0.5875  0.0194  15.55
1048.5  23.09   2.500  0.6125  0.0243  14.60
1258.1  24.05   3.000  0.6380  0.0291  13.64
1677.5  25.95   4.000  0.6885  0.0388  11.74
2096.9  27.82   5.000  0.7380  0.0485   9.87
2516.3  29.87   6.000  0.7925  0.0582   7.82
2935.7  31.66   7.000  0.8400  0.0679   6.03
3355.0  33.41   8.000  0.8865  0.0776   4.28
3774.4  34.90   9.000  0.9260  0.0873   2.79
4193.8  36.18  10.000  0.9600  0.0970   1.51
4613.2  37.12  11.000  0.9850  0.1067   0.57
5032.6  37.52  12.000  0.9955  0.1164   0.17
5451.9  37.69  13.000  1.0000  0.1261   0.0

# Station 10 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     38.85
  20.0  11.89   0.050  0.3060  0.0004  26.96
  39.9  14.01   0.100  0.3605  0.0008  24.84
  79.9  15.70   0.200  0.4040  0.0016  23.15
 199.7  17.87   0.500  0.4600  0.0041  20.98
 399.4  19.62   1.000  0.5050  0.0082  19.23
 599.1  20.96   1.500  0.5395  0.0123  17.89
 798.8  21.72   2.000  0.5590  0.0164  17.13
 998.5  22.79   2.500  0.5865  0.0205  16.06
1198.2  23.70   3.000  0.6100  0.0246  15.15
1597.5  25.56   4.000  0.6580  0.0328  13.29
1996.9  27.41   5.000  0.7055  0.0410  11.44
2396.3  29.08   6.000  0.7485  0.0492   9.77
2795.7  31.08   7.000  0.8000  0.0574   7.77
3195.1  32.83   8.000  0.8450  0.0656   6.02
3594.5  34.30   9.000  0.8830  0.0738   4.55
3993.9  35.90  10.000  0.9240  0.0820   2.95
4393.2  37.22  11.000  0.9580  0.0902   1.63
4792.6  38.09  12.000  0.9805  0.0984   0.76
5192.0  38.62  13.000  0.9940  0.1066   0.23
5591.4  38.71  14.000  0.9965  0.1148   0.14
5990.8  38.81  15.000  0.9990  0.1230   0.04
6390.2  38.85  16.000  1.0000  0.1312   0.0

# Station 11 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     40.14
  19.0  12.04   0.050  0.3000  0.0003  28.10
  37.9  14.19   0.100  0.3535  0.0007  25.95
  75.9  15.53   0.200  0.3870  0.0014  24.61
 189.7  17.82   0.500  0.4440  0.0035  22.32
 379.3  19.47   1.000  0.4850  0.0070  20.67
 569.0  20.75   1.500  0.5170  0.0104  19.39
 758.6  21.43   2.000  0.5340  0.0139  18.71
 948.3  22.62   2.500  0.5635  0.0174  17.52
1138.0  23.40   3.000  0.5830  0.0209  16.74
1517.3  25.07   4.000  0.6245  0.0278  15.07
1896.6  26.69   5.000  0.6650  0.0348  13.45
2275.9  28.58   6.000  0.7120  0.0418  11.56
2655.2  30.51   7.000  0.7600  0.0487   9.63
3034.5  32.11   8.000  0.8000  0.0557   8.03
3413.9  33.76   9.000  0.8410  0.0626   6.38
3793.2  35.44  10.000  0.8830  0.0696   4.70
4172.5  37.01  11.000  0.9220  0.0765   3.13
4551.8  38.25  12.000  0.9530  0.0835   1.89
4931.1  39.22  13.000  0.9770  0.0905   0.92
5310.4  39.78  14.000  0.9910  0.0974   0.36
5689.8  40.10  15.000  0.9990  0.1044   0.04
6069.1  40.14  16.000  1.0000  0.1113   0.0

# Station 12 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     41.40
  18.0  11.76   0.050  0.2840  0.0003  29.64
  36.0  13.87   0.100  0.3350  0.0006  27.53
  72.0  15.69   0.200  0.3790  0.0012  25.71
 180.0  17.68   0.500  0.4270  0.0030  23.72
 360.0  19.27   1.000  0.4655  0.0059  22.13
 540.0  20.41   1.500  0.4930  0.0089  20.99
 720.0  21.36   2.000  0.5160  0.0118  20.04
 900.0  22.19   2.500  0.5360  0.0148  19.21
1079.9  22.89   3.000  0.5530  0.0177  18.51
1439.9  24.59   4.000  0.5940  0.0236  16.81
1799.9  26.50   5.000  0.6400  0.0295  14.90
2159.9  27.99   6.000  0.6760  0.0354  13.41
2519.9  29.68   7.000  0.7170  0.0413  11.72
2879.9  31.30   8.000  0.7560  0.0473  10.10
3239.8  33.04   9.000  0.7980  0.0532   8.36
3599.8  34.63  10.000  0.8365  0.0591   6.77
3959.8  36.22  11.000  0.8750  0.0650   5.17
4319.8  37.80  12.000  0.9130  0.0709   3.60
4679.8  39.06  13.000  0.9435  0.0768   2.34
5039.7  40.03  14.000  0.9670  0.0827   1.37
5399.7  40.74  15.000  0.9840  0.0886   0.66
5759.7  41.23  16.000  0.9960  0.0945   0.17
6119.7  41.40  17.000  1.0000  0.1004   0.0
