# Ludwieg and Tillman Strong Adverse Pressure Gradient
IDENT = 1200
V = 0.150000

# Summary data
# X     UI      DUI   THETA    H      HS      G       CF     CFLT      CFE     BETA
0.782  33.00  -4.150  0.245  1.384  1.782   7.270  0.00292  0.00283  0.00283   0.292
1.282  31.20  -4.150  0.389  1.400  1.759   8.100  0.00249  0.00248  0.00245   0.582
1.782  28.80  -4.150  0.603  1.460  1.726   9.846  0.00205  0.00205  0.00220   1.241
2.282  27.10  -4.150  0.811  1.457  1.721  10.061  0.00194  0.00193  0.00197   1.861
2.782  24.65  -4.150  1.203  1.535  1.688  12.507  0.00155  0.00158  0.00160   4.004
3.132  23.45  -3.800  1.523  1.604  1.664  14.625  0.00133  0.00135  0.00138   5.967
3.332  22.90  -2.920  1.809  1.648  1.651  16.017  0.00120  0.00121  0.00123   6.312
3.532  22.43  -1.800  2.158  1.725  1.627  18.676  0.00101  0.00103  0.00106   5.897
3.732  22.10  -0.650  2.500  1.796  1.607  21.107  0.00088  0.00089  0.00095   2.996
3.932  22.13   0.600  3.276  2.040  1.558  29.538  0.00060  0.00057  0.00073  -6.082

# Edge velocity plot
# X    UI      DUI
0.78  33.36  -4.13
1.00  32.08  -4.13
1.50  30.07  -4.13
2.00  28.05  -4.13
2.50  26.01  -4.13
3.00  24.00  -4.09
3.25  23.16  -3.25
3.50  22.56  -1.94
3.75  22.25  -0.50
3.95  22.23   1.02

# Stations summary
# X      US      UI       V      THETA    DELS    ENTH     CLTH      H        G       HS     RTHETA   RDELS
0.7820  1.260  33.000  0.150000  0.2447  0.3387  0.4360    8.8700  1.3843   7.2704  1.7821   5382.5   7450.9
1.2820  1.100  31.200  0.150000  0.3887  0.5442  0.6839   15.4323  1.3998   8.0998  1.7593   8085.8  11318.4
1.7820  0.921  28.800  0.150000  0.6032  0.8804  1.0413   27.5314  1.4596   9.8461  1.7262  11581.7  16904.5
2.2820  0.845  27.100  0.150000  0.8110  1.1818  1.3959   37.8997  1.4571  10.0606  1.7211  14652.9  21350.8
2.7820  0.687  24.650  0.150000  1.2034  1.8473  2.0312   66.2802  1.5351  12.5068  1.6879  19775.3  30356.9
3.1320  0.604  23.450  0.150000  1.5230  2.4437  2.5343   94.8627  1.6045  14.6252  1.6640  23809.9  38202.5
3.3320  0.562  22.900  0.150000  1.8093  2.9811  2.9872  121.4798  1.6476  16.0173  1.6510  27622.6  45511.4
3.5320  0.505  22.430  0.150000  2.1584  3.7242  3.5111  165.4300  1.7254  18.6759  1.6267  32275.5  55689.5
3.7320  0.464  22.100  0.150000  2.5004  4.4902  4.1087  213.8680  1.7958  21.1070  1.6072  36838.9  66155.5
3.9320  0.382  22.130  0.150000  3.2761  6.6846  5.1037  387.2368  2.0404  29.5384  1.5578  48333.7  98619.5

# Station 1 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     26.19
  42.0  14.54   0.050  0.5550  0.0056  11.65
  84.0  15.82   0.100  0.6040  0.0113  10.37
 168.0  17.48   0.200  0.6675  0.0225   8.71
 336.0  19.33   0.400  0.7380  0.0451   6.86
 504.0  20.61   0.600  0.7870  0.0676   5.58
 672.0  21.57   0.800  0.8235  0.0902   4.62
 840.0  22.51   1.000  0.8595  0.1127   3.68
1008.0  23.44   1.200  0.8950  0.1353   2.75
1260.0  24.54   1.500  0.9370  0.1691   1.65
1512.0  25.38   1.800  0.9690  0.2029   0.81
1680.0  25.80   2.000  0.9850  0.2255   0.39
2100.0  26.11   2.500  0.9970  0.2818   0.08
2520.0  26.16   3.000  0.9990  0.3382   0.03
3360.1  26.19   4.000  1.0000  0.4510   0.0

# Station 2 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     28.36
  36.7  14.38   0.050  0.5070  0.0032  13.98
  73.3  15.97   0.100  0.5630  0.0065  12.39
 146.7  17.21   0.200  0.6070  0.0130  11.15
 293.4  18.97   0.400  0.6690  0.0259   9.39
 440.1  20.02   0.600  0.7060  0.0389   8.34
 586.7  21.07   0.800  0.7430  0.0518   7.29
 733.4  21.95   1.000  0.7740  0.0648   6.41
 880.1  22.77   1.200  0.8030  0.0778   5.59
1100.1  23.94   1.500  0.8440  0.0972   4.42
1320.2  24.96   1.800  0.8800  0.1166   3.40
1466.9  25.72   2.000  0.9070  0.1296   2.64
1833.6  27.06   2.500  0.9540  0.1620   1.30
2200.3  27.96   3.000  0.9860  0.1944   0.40
2933.7  28.30   4.000  0.9980  0.2592   0.06
4400.6  28.36   6.000  1.0000  0.3888   0.0

# Station 3 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     31.27
  30.7  12.63   0.050  0.4040  0.0018  18.64
  61.4  14.92   0.100  0.4770  0.0036  16.35
 122.8  16.45   0.200  0.5260  0.0073  14.82
 307.0  19.04   0.500  0.6090  0.0182  12.23
 614.0  21.42   1.000  0.6850  0.0363   9.85
 921.0  23.45   1.500  0.7500  0.0545   7.82
1228.0  24.83   2.000  0.7940  0.0726   6.44
1535.0  26.86   2.500  0.8590  0.0908   4.41
1842.0  28.36   3.000  0.9070  0.1090   2.91
2456.0  30.58   4.000  0.9780  0.1453   0.69
3070.0  31.19   5.000  0.9975  0.1816   0.08
3684.0  31.27   6.000  1.0000  0.2179   0.0

# Station 4 data
# Y+     U+      Y     U/UI    Y/CD    UDEF
   0.0   0.0    0.0    0.0     0.0     32.07
  28.2  13.60   0.050  0.4240  0.0013  18.47
  56.3  15.23   0.100  0.4750  0.0026  16.84
 112.7  16.61   0.200  0.5180  0.0053  15.46
 281.7  18.79   0.500  0.5860  0.0132  13.28
