# Ludwieg and Tillman Mild Adverse Pressure Gradient
IDENT = 1100
V = 0.155000

# Summary data
# x     UI      DUI   THETA    H      HS      G       CF     CFLT      CFE    BETA
0.782  33.90  -2.300  0.276  1.381  1.778   7.307  0.00285  0.00276  0.00271  0.181
1.282  32.60  -3.350  0.413  1.394  1.760   8.014  0.00249  0.00246  0.00249  0.475
1.782  30.70  -4.320  0.606  1.402  1.753   8.633  0.00221  0.00222  0.00219  1.083
2.282  28.60  -3.580  0.811  1.427  1.734   9.353  0.00205  0.00202  0.00202  1.415
2.782  27.10  -3.000  1.074  1.457  1.720  10.445  0.00180  0.00181  0.00186  1.919
3.132  26.05  -2.740  1.276  1.485  1.706  11.280  0.00168  0.00167  0.00171  2.379
3.332  25.75  -2.600  1.432  1.492  1.703  11.607  0.00162  0.00161  0.00160  2.672
3.532  24.85  -2.500  1.614  1.519  1.893  12.461  0.00150  0.00151  0.00153  3.282
3.732  24.50  -2.400  1.773  1.542  1.684  13.253  0.00141  0.00142  0.00152  3.806
3.932  24.05  -2.300  2.005  1.566  1.675  14.037  0.00133  0.00133  0.00134  4.530
4.132  23.60  -2.250  2.246  1.594  1.664  14.960  0.00124  0.00124  0.00126  5.499
4.332  23.10  -2.180  2.528  1.618  1.656  15.811  0.00117  0.00117  0.00117  6.615

# Edge velocity plot
# x    UI      DUI
0.75  33.98  -2.25
1.00  33.38  -2.75
1.25  32.63  -3.29
1.50  31.79  -3.82
1.75  30.78  -4.33
2.00  29.66  -4.00
2.25  28.78  -3.62
2.50  27.90  -3.28
2.75  27.15  -3.05
3.00  26.42  -2.82
3.25  25.70  -2.65
3.50  25.10  -2.52
3.75  24.45  -2.38
4.00  23.85  -2.29
4.25  23.38  -2.21
