# Ludwieg and Tillman Mild Adverse Pressure Gradient
IDENT = 1300
V = 0.154000

# Summary data
# x     UI     DUI   THETA    H      HS     G       CF     CFLT      CFE     BETA
0.782  11.52  3.650  0.135  1.426  1.798  6.219  0.00461  0.00416  0.00454  -0.264
1.282  13.38  4.000  0.149  1.376  1.815  5.820  0.00440  0.00421  0.00434  -0.278
1.782  15.61  4.330  0.158  1.371  1.812  5.940  0.00415  0.00400  0.00415  -0.290
2.282  17.85  4.680  0.173  1.360  1.815  5.932  0.00398  0.00384  0.00396  -0.310
2.782  20.20  4.900  0.189  1.368  1.806  6.214  0.00375  0.00358  0.00365  -0.334
3.132  22.07  5.000  0.196  1.363  1.806  6.255  0.00362  0.00349  0.00356  -0.334
3.332  22.90  5.000  0.196  1.355  1.810  6.156  0.00362  0.00350  0.00347  -0.320
3.532  23.70  4.960  0.203  1.347  1.812  6.106  0.00356  0.00348  0.00342  -0.321
3.732  25.13  4.860  0.196  1.336  1.819  5.907  0.00362  0.00351  0.00348  -0.280
3.932  25.80  4.600  0.219  1.353  1.806  6.352  0.00338  0.00330  0.00336  -0.313
4.132  26.40  4.130  0.227  1.346  1.808  6.281  0.00335  0.00328  0.00330  -0.285
4.332  27.50  3.500  0.227  1.341  1.811  6.191  0.00338  0.00327  0.00320  -0.230

# Edge velocity plot
# x    UI    DUI
0.75  11.40  3.62
1.00  12.39  3.80
1.25  13.30  3.97
1.50  14.35  4.14
1.75  15.40  4.32
2.00  16.53  4.49
2.25  17.64  4.65
2.50  18.79  4.79
2.75  19.96  4.91
3.00  21.26  4.98
3.25  22.55  5.01
3.50  23.74  5.00
3.75  24.96  4.84
4.00  26.13  4.47
4.25  27.14  3.81
